"segment","exchange","shortCode","symbol","token","scripId","strikePrice","expiry","lotSize","tickSize","instrumentType","optionType","isTBApproved","marginPercentage","volumeFreezeQty","quantityMultiplier","numerator","denominator","isMTFApproved","mtfMargin","nseAsmgsm","bseAsmgsm","nseSurvIndCode","isBKTAllowed","scripName"
"EQ","NSE","NCM","BANARBEADS",347,41504,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","",false,"BANARAS BEADS LTD"
"EQ","NSE","NCM","BANARISUG",350,41511,"","","","5.00000","0","",true,"28.42","","","","",false,"100.00","0","100","",false,"BANNARI AMMAN SUGARS LTD"
"EQ","NSE","NCM","BANCOINDIA",13880,41518,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","11","100","Long Term ASM - 1",false,"BANCO PRODUCTS (I) LTD"
"EQ","NSE","NCM","BANDHANBNK",2263,41529,"","","","1.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"BANDHAN BANK LIMITED"
"EQ","NSE","NCM","BANG",15303,41536,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","13","100","",false,"BANG OVERSEAS LTD."
"EQ","NSE","NCM","BANKA",822,41540,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","0","",false,"BANKA BIOLOO LIMITED"
"EQ","NSE","NCM","BANKBARODA",4668,41551,"","","","1.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"BANK OF BARODA"
"EQ","NSE","NCM","BANKBEES",11439,41556,"","","","1.00000","4","",true,"26.50","","","","",false,"100.00","0","100","",false,"NIPPONINDIA ETF BANK BEES"
"EQ","NSE","NCM","BANKINDIA",4745,41563,"","","","1.00000","0","",true,"34.54","","","","",false,"100.00","0","100","",true,"BANK OF INDIA"
"EQ","NSE","NCM","BANSWRAS",14511,41578,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","0","100","",false,"BANSWARA SYNTEX LIMITED"
"EQ","NSE","NCM","BARTRONICS",17921,41587,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","",false,"BARTRONICS INDIA LIMITED"
